"","secu","pond","region","nom_region","zona_u_r","gse","encuesta","encuesta_a","encuesta_m","estrato","id_bu_encuesta","id_bu","percepcion_1_a","percepcion_1_b","percepcion_1_c","percepcion_2","percepcion_3","percepcion_5","percepcion_6","percepcion_38","percepcion_39","percepcion_4","eval_gob_1","iden_pol_2","eval_act_pol_1_fh","eval_act_pol_1_p","eval_act_pol_1_fo","eval_act_pol_1_gp","eval_act_pol_1_ca","eval_act_pol_1_el","eval_act_pol_1_gm","eval_act_pol_1_gf","eval_act_pol_1_dh","eval_act_pol_1_gq","eval_act_pol_1_fe","eval_act_pol_1_go","eval_act_pol_1_en","eval_act_pol_1_ae","eval_act_pol_1_dv","eval_act_pol_1_gr","eval_act_pol_1_gs","eval_act_pol_1_em","eval_act_pol_1_ff","confianza_6_a","confianza_6_c","confianza_6_b","confianza_6_j","confianza_6_d","confianza_6_e","confianza_6_f","confianza_6_n","confianza_6_x","confianza_6_g","confianza_6_h","confianza_6_i","confianza_6_k","confianza_6_s","confianza_6_o","confianza_6_p","confianza_6_r","confianza_6_m","confianza_8_a","interes_pol_1_b","democracia_21","democracia_20","pobreza_62","pobreza_63","democracia_19","constitucion_19","constitucion_20_a","constitucion_20_b","constitucion_23_a","constitucion_23_b","constitucion_26_a","constitucion_26_b","constitucion_29","constitucion_29_2","constitucion_3","iden_nacional_5_a","iden_nacional_6_b","internacional_20","internacional_21","salud_5_b","salud_83","salud_84","pensiones_4","pensiones_4_a","pensiones_4_b","pensiones_5","educacion_110","educacion_98","educacion_95","educacion_112","educacion_112_a","educacion_112_b","educacion_112_c","educacion_112_d","ciudadania_29_a","ciudadania_29_b","ciudadania_29_c","ciudadania_29_d","ciudadania_29_e","ciudadania_30_a","ciudadania_30_b","ciudadania_30_d","ciudadania_31","polarizacion_1_a","polarizacion_1_b","polarizacion_2_a","polarizacion_2_b","polarizacion_3_a","polarizacion_3_b","polarizacion_4","polarizacion_5","polarizacion_4_orden","polarizacion_5_orden","sexo","edad","info_enc_61","esc_nivel_1","info_enc_56","info_enc_57","info_hogar_28_c","info_hogar_33","info_enc_64","religion_82","religion_2","constitucion_4_a","constitucion_4_b","constitucion_4_c","elec_part_56","elec_pres_143_a","elec_pres_143_b","elec_part_37","elec_pres_144_a","elec_pres_144_b","interes_pol_2_a","interes_pol_2_h","interes_pol_2_c","interes_pol_2_d","interes_pol_2_e","iden_pol_3","iden_pol_3_a","religion_14","info_enc_58","info_enc_30","info_hogar_34_a","info_hogar_34_b","info_hogar_34_c","info_hogar_1","info_hogar_35_a","info_hogar_35_b","info_hogar_35_c","info_hogar_35_d","info_hogar_35_e","info_hogar_35_f","info_hogar_35_g"
"1095",13,1.65285491,"2","ANTOFAGASTA",1,4,88,2022,11,2,1095,"1095-88",10,1,5,2,3,2,3,4,3,2,2,6,2,1,3,2,6,2,6,6,8,6,2,6,2,2,6,5,5,6,2,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,4,3,3,4,4,1,3,6,6,9,1,4,NA,NA,NA,NA,NA,2,2,3,2,2,2,1,1,3,2,1,10,0,3,1,1,2,1,5,5,5,5,5,5,5,5,5,5,5,3,4,5,3,5,5,5,5,5,5,2,1,2,23,2,4,3,1,NA,NA,7,1,8,1,1,NA,1,9,NA,1,4,NA,3,3,3,3,3,15,15,1,2,NA,2,2,3,2,NA,4,NA,NA,NA,NA,NA
"1096",13,1.77041996,"2","ANTOFAGASTA",1,4,88,2022,11,2,1096,"1096-88",2,3,11,1,2,3,3,2,3,3,2,5,1,1,6,6,3,1,6,6,6,6,6,6,6,1,1,6,6,6,6,88,88,88,4,4,88,4,3,4,3,88,4,4,4,88,4,4,3,4,4,1,2,6,6,4,1,1,NA,13,13,NA,NA,2,2,1,2,3,1,1,2,3,1,1,7,3,1,1,1,2,1,5,5,5,5,3,5,5,5,5,5,3,3,4,6,4,5,5,6,4,5,5,1,2,2,43,2,5,1,1,NA,NA,7,1,8,1,1,NA,1,9,NA,1,4,NA,3,3,3,3,3,15,15,3,2,NA,2,2,2,2,NA,4,NA,NA,NA,NA,NA
"1097",13,0.57968669,"2","ANTOFAGASTA",1,5,88,2022,11,2,1097,"1097-88",14,5,1,2,2,2,3,5,2,3,2,5,2,1,6,6,6,1,6,6,6,6,6,6,2,1,2,6,6,6,2,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,1,3,7,5,5,1,9,NA,NA,NA,NA,NA,1,1,2,3,3,88,88,1,1,2,1,5,5,2,2,2,2,1,5,5,5,5,88,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,5,2,1,2,45,2,5,3,1,NA,NA,1,9,8,1,99,NA,1,9,NA,1,4,NA,3,3,3,3,3,15,15,1,2,NA,2,2,2,1,4,NA,NA,NA,NA,NA,NA
"1098",12,0.97433918,"2","ANTOFAGASTA",1,4,88,2022,11,2,1098,"1098-88",1,6,3,3,3,3,3,2,2,2,2,6,2,1,6,6,2,2,2,6,6,6,6,6,6,2,3,6,6,6,6,3,4,4,4,4,3,3,3,3,3,4,4,4,4,3,4,4,3,4,4,2,4,4,1,5,1,4,NA,NA,NA,NA,NA,2,2,3,1,1,2,2,5,3,2,1,5,5,3,2,1,2,1,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,2,5,2,5,5,1,2,2,23,2,4,3,1,NA,NA,9,1,8,1,1,NA,1,1,NA,1,1,NA,3,2,3,3,2,15,15,1,2,NA,3,NA,NA,1,4,NA,NA,NA,NA,NA,NA
"1099",210,2.82225274,"13","METROPOLITANA",1,3,88,2022,11,20,1099,"1099-88",3,14,5,2,3,3,4,4,3,3,2,7,1,4,2,2,2,2,3,3,1,2,3,2,3,4,4,4,4,2,2,3,2,3,3,3,3,3,1,3,3,3,4,3,1,3,4,2,3,4,4,2,3,8,8,5,1,2,NA,NA,NA,9,10,1,1,2,2,2,2,2,3,3,2,1,8,2,3,1,1,2,1,8,4,4,4,4,5,5,5,5,1,1,1,5,5,0,8,2,4,8,4,8,1,2,1,56,2,6,2,1,NA,NA,5,1,8,1,2,NA,1,2,NA,1,2,NA,1,2,2,2,2,17,NA,2,2,NA,2,2,1,4,NA,NA,NA,2,NA,NA,NA
"1100",280,0.55137374,"10","LOS LAGOS",2,3,88,2022,11,17,1100,"1100-88",10,11,2,2,1,3,2,3,2,2,1,4,4,1,4,6,3,4,3,6,6,6,6,6,3,3,1,6,6,6,3,4,4,3,4,4,3,4,2,3,3,4,2,4,3,3,4,3,2,3,4,3,3,8,10,8,1,1,NA,7,5,NA,NA,1,1,1,2,2,1,2,4,3,1,1,8,2,1,1,2,1,1,5,5,5,5,1,5,5,5,5,5,4,4,5,2,5,1,6,7,1,5,5,2,1,2,44,2,8,1,1,NA,NA,4,2,8,1,1,NA,1,1,NA,1,1,NA,3,3,2,3,3,3,NA,2,2,NA,2,1,2,2,NA,4,NA,NA,NA,NA,NA
"1101",280,0.93698321,"10","LOS LAGOS",2,3,88,2022,11,17,1101,"1101-88",14,17,3,3,1,3,2,2,3,2,2,7,3,4,3,4,6,4,6,3,3,6,3,6,6,3,4,2,6,6,3,4,1,2,3,2,3,4,2,3,3,2,3,2,3,2,3,2,2,3,3,1,3,7,8,9,1,2,NA,NA,NA,1,3,4,4,1,2,2,2,1,5,3,2,1,7,3,1,2,1,1,1,5,5,5,5,4,4,5,5,5,2,1,1,3,6,3,6,5,5,6,5,5,2,1,1,18,2,4,2,1,NA,NA,10,2,3,2,NA,2,2,NA,2,1,2,NA,2,2,1,2,1,21,NA,2,2,NA,2,2,2,2,NA,1,NA,NA,NA,NA,NA
"1102",280,1.10274747,"10","LOS LAGOS",2,4,88,2022,11,17,1102,"1102-88",3,10,6,2,2,2,3,4,3,2,2,5,2,3,3,6,3,2,6,6,6,2,6,6,2,3,3,3,6,3,6,4,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,2,1,4,1,3,5,8,10,1,2,NA,NA,NA,3,9,1,1,2,2,2,1,1,2,2,2,1,10,0,1,2,1,2,1,5,5,5,5,3,5,5,5,5,5,3,3,4,5,5,5,5,2,10,5,5,2,1,2,36,2,3,3,1,NA,NA,10,2,8,2,NA,1,2,NA,3,2,NA,3,2,3,2,2,2,15,13,3,1,5,1,1,2,3,NA,NA,1,NA,NA,NA,NA
"1103",280,0.51076673,"10","LOS LAGOS",2,4,88,2022,11,17,1103,"1103-88",16,1,7,1,3,1,5,1,3,3,2,1,1,5,6,6,6,3,1,6,6,6,3,6,4,1,2,8,6,1,6,4,4,1,4,4,4,4,1,4,4,4,4,4,4,4,4,4,2,4,5,1,5,1,2,10,1,2,NA,NA,NA,8,9,4,4,3,5,2,2,2,1,3,1,1,10,0,1,1,2,1,1,5,5,5,5,1,2,1,5,5,5,3,3,3,0,0,5,1,10,10,5,10,2,1,1,55,2,2,3,1,NA,NA,10,2,8,1,2,NA,1,9,NA,1,4,NA,1,2,1,1,1,1,NA,2,1,5,1,1,2,1,1,NA,NA,NA,NA,NA,NA
"1104",280,0.3295006,"10","LOS LAGOS",2,4,88,2022,11,17,1104,"1104-88",3,10,6,2,3,4,3,4,3,2,2,6,2,4,6,6,4,2,6,6,4,6,6,6,6,4,4,6,6,6,6,3,1,1,3,4,3,3,3,3,1,1,3,3,3,3,3,1,1,3,5,2,3,10,1,10,1,2,NA,NA,NA,13,13,1,1,1,2,2,1,2,5,3,2,1,10,0,99,2,1,2,1,5,5,5,5,5,4,5,5,5,1,1,1,5,7,0,8,1,6,2,6,5,2,1,2,48,2,1,1,1,NA,NA,10,2,8,2,NA,1,1,2,NA,1,2,NA,3,3,3,3,3,9,NA,1,2,NA,2,2,2,1,3,NA,NA,NA,NA,NA,NA
