"","secu","pond","region","nom_region","zona_u_r","gse","encuesta","encuesta_a","encuesta_m","estrato","id_bu_encuesta","id_bu","percepcion_1_a","percepcion_1_b","percepcion_1_c","percepcion_2","percepcion_3","percepcion_5","percepcion_6","percepcion_38","percepcion_39","percepcion_4","eval_gob_1","iden_pol_2","eval_act_pol_1_fh","eval_act_pol_1_p","eval_act_pol_1_fo","eval_act_pol_1_gp","eval_act_pol_1_ca","eval_act_pol_1_el","eval_act_pol_1_gm","eval_act_pol_1_gf","eval_act_pol_1_dh","eval_act_pol_1_gq","eval_act_pol_1_fe","eval_act_pol_1_go","eval_act_pol_1_en","eval_act_pol_1_ae","eval_act_pol_1_dv","eval_act_pol_1_gr","eval_act_pol_1_gs","eval_act_pol_1_em","eval_act_pol_1_ff","confianza_6_a","confianza_6_c","confianza_6_b","confianza_6_j","confianza_6_d","confianza_6_e","confianza_6_f","confianza_6_n","confianza_6_x","confianza_6_g","confianza_6_h","confianza_6_i","confianza_6_k","confianza_6_s","confianza_6_o","confianza_6_p","confianza_6_r","confianza_6_m","confianza_8_a","interes_pol_1_b","democracia_21","democracia_20","pobreza_62","pobreza_63","democracia_19","constitucion_19","constitucion_20_a","constitucion_20_b","constitucion_23_a","constitucion_23_b","constitucion_26_a","constitucion_26_b","constitucion_29","constitucion_29_2","constitucion_3","iden_nacional_5_a","iden_nacional_6_b","internacional_20","internacional_21","salud_5_b","salud_83","salud_84","pensiones_4","pensiones_4_a","pensiones_4_b","pensiones_5","educacion_110","educacion_98","educacion_95","educacion_112","educacion_112_a","educacion_112_b","educacion_112_c","educacion_112_d","ciudadania_29_a","ciudadania_29_b","ciudadania_29_c","ciudadania_29_d","ciudadania_29_e","ciudadania_30_a","ciudadania_30_b","ciudadania_30_d","ciudadania_31","polarizacion_1_a","polarizacion_1_b","polarizacion_2_a","polarizacion_2_b","polarizacion_3_a","polarizacion_3_b","polarizacion_4","polarizacion_5","polarizacion_4_orden","polarizacion_5_orden","sexo","edad","info_enc_61","esc_nivel_1","info_enc_56","info_enc_57","info_hogar_28_c","info_hogar_33","info_enc_64","religion_82","religion_2","constitucion_4_a","constitucion_4_b","constitucion_4_c","elec_part_56","elec_pres_143_a","elec_pres_143_b","elec_part_37","elec_pres_144_a","elec_pres_144_b","interes_pol_2_a","interes_pol_2_h","interes_pol_2_c","interes_pol_2_d","interes_pol_2_e","iden_pol_3","iden_pol_3_a","religion_14","info_enc_58","info_enc_30","info_hogar_34_a","info_hogar_34_b","info_hogar_34_c","info_hogar_1","info_hogar_35_a","info_hogar_35_b","info_hogar_35_c","info_hogar_35_d","info_hogar_35_e","info_hogar_35_f","info_hogar_35_g"
"1",139,0.97011149,"13","METROPOLITANA",1,3,88,2022,11,20,1,"1-88",3,10,1,3,8,3,4,8,8,2,2,99,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,88,88,4,4,4,4,88,88,4,4,88,4,4,4,4,4,3,5,8,8,88,10,88,1,8,NA,NA,NA,NA,NA,2,2,88,8,8,88,88,2,88,88,88,NA,NA,88,1,1,1,88,NA,NA,NA,NA,5,3,5,5,5,88,1,1,88,99,99,99,99,99,99,99,99,1,2,2,63,2,2,1,1,NA,NA,11,9,8,88,NA,88,8,NA,88,2,NA,2,3,3,3,3,3,15,15,2,2,NA,2,2,2,6,NA,NA,NA,NA,NA,99,NA
"2",140,1.61605574,"13","METROPOLITANA",1,3,88,2022,11,20,2,"2-88",10,5,1,1,3,3,4,4,3,2,2,88,6,3,6,6,6,3,6,6,6,6,6,6,6,3,6,6,6,6,6,88,88,1,88,3,88,88,88,88,88,3,4,88,88,3,88,1,1,4,5,8,3,10,10,10,1,9,NA,NA,NA,NA,NA,1,1,3,3,3,88,2,1,3,88,1,5,5,1,2,2,2,1,5,5,5,5,5,5,5,5,5,3,3,3,1,88,88,99,99,0,10,99,10,1,2,2,65,2,3,1,1,NA,NA,11,2,3,1,2,NA,1,99,NA,1,9,NA,3,3,3,3,3,99,99,3,2,NA,2,2,2,6,NA,NA,NA,NA,NA,99,NA
"3",139,1.52378551,"13","METROPOLITANA",1,3,88,2022,11,20,3,"3-88",1,3,16,1,3,3,3,4,2,2,2,8,1,1,6,1,3,1,1,6,2,6,3,2,1,5,4,6,4,3,3,4,4,4,4,4,4,4,3,4,1,4,88,4,4,3,4,4,2,4,5,3,5,1,1,10,1,2,NA,NA,NA,2,7,1,1,1,2,2,1,2,1,2,2,1,10,0,1,1,2,1,1,5,5,5,5,2,5,5,5,5,5,5,1,5,9,9,9,9,8,8,88,88,2,1,2,40,2,3,3,2,3,9,NA,9,8,1,1,NA,1,2,NA,1,2,NA,3,3,3,3,3,15,15,2,2,NA,2,1,2,6,NA,NA,NA,NA,NA,2,NA
"4",71,1.06654738,"7","MAULE",1,3,88,2022,11,10,4,"4-88",3,1,11,1,3,2,4,4,3,3,3,1,4,4,3,3,3,3,3,6,8,6,3,3,3,4,3,6,6,4,3,4,3,4,4,3,3,3,3,3,4,3,3,4,3,3,3,3,4,4,3,2,3,1,5,8,1,2,NA,NA,NA,9,6,5,5,1,2,3,2,1,3,3,2,1,8,2,3,2,2,2,1,3,4,4,9,4,5,5,5,5,4,2,1,5,5,5,5,5,5,5,8,8,2,1,2,50,2,3,1,1,NA,NA,9,9,8,1,2,NA,2,NA,66,2,NA,3,2,3,2,2,3,15,15,3,2,NA,2,2,1,4,NA,NA,NA,2,NA,NA,NA
"5",85,1.51804306,"8","BIOBÍO",1,3,88,2022,11,12,5,"5-88",1,3,11,1,3,3,5,1,3,3,2,10,1,1,2,6,2,2,6,6,2,6,6,6,2,4,2,6,6,6,1,4,4,1,4,3,3,3,3,4,2,3,4,3,3,3,3,3,4,4,5,3,5,10,10,10,1,9,NA,NA,NA,NA,NA,99,99,3,2,3,2,2,2,3,2,99,NA,NA,1,2,2,2,1,5,5,5,5,3,5,5,5,5,5,5,5,4,5,5,6,3,3,8,5,5,1,2,1,50,2,6,1,1,NA,NA,6,8,4,1,2,NA,1,99,NA,1,9,NA,3,3,3,3,3,15,15,2,2,NA,2,2,2,1,99,NA,NA,NA,NA,NA,NA
"6",71,1.24566208,"7","MAULE",1,3,88,2022,11,10,6,"6-88",1,3,10,1,2,2,3,4,3,3,2,5,2,3,6,6,3,3,6,3,6,6,6,6,6,2,3,6,6,6,6,1,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,5,1,3,6,6,10,1,2,NA,NA,NA,9,1,4,4,3,4,4,2,1,1,3,1,1,0,10,1,1,1,2,1,5,5,5,5,5,5,5,5,5,5,2,1,1,5,5,5,6,6,9,0,9,1,2,1,68,2,3,3,1,NA,NA,7,1,4,2,NA,2,1,9,NA,1,3,NA,2,3,3,3,3,15,15,1,2,NA,2,2,2,3,NA,NA,2,NA,NA,NA,NA
"7",54,0.76799217,"5","VALPARAÍSO",1,3,88,2022,11,6,7,"7-88",1,10,3,2,3,2,4,4,2,3,2,5,2,1,2,6,2,2,2,6,2,6,1,6,1,1,1,6,6,2,2,4,4,4,4,4,4,4,2,3,1,4,4,4,4,4,3,2,3,3,5,3,4,1,10,10,1,3,NA,NA,NA,NA,NA,2,2,3,1,5,1,2,5,2,1,1,9,1,1,1,2,1,1,3,7,5,5,5,5,5,5,5,5,5,5,5,0,2,0,5,2,0,1,1,2,1,2,72,2,4,3,2,3,9,NA,9,8,2,NA,1,1,7,NA,1,3,NA,3,3,3,3,3,15,15,2,2,NA,2,2,2,3,NA,NA,2,NA,NA,NA,NA
"8",31,0.56111895,"5","VALPARAÍSO",1,3,88,2022,11,6,8,"8-88",9,3,10,3,2,3,3,3,2,2,1,5,3,2,3,6,3,3,6,6,6,6,3,6,3,3,3,6,6,3,2,1,1,3,4,3,1,3,1,2,1,3,3,4,3,1,1,1,1,3,3,3,3,5,5,7,1,2,NA,NA,NA,9,8,3,3,1,2,1,1,1,2,3,1,1,8,2,1,1,1,2,1,5,5,5,5,3,4,5,5,5,4,3,3,5,5,5,5,5,5,10,5,5,2,1,2,54,2,6,1,1,NA,NA,5,1,4,1,1,NA,1,1,NA,1,1,NA,2,3,3,2,3,15,15,3,2,NA,2,1,2,3,NA,NA,3,NA,NA,NA,NA
"9",31,0.6553526,"5","VALPARAÍSO",1,4,88,2022,11,6,9,"9-88",2,5,10,2,2,3,2,3,2,2,3,10,3,4,3,3,4,2,5,2,1,4,4,4,4,4,4,4,6,4,4,3,2,1,4,3,2,2,2,3,3,2,3,3,1,3,3,2,2,3,5,1,3,10,10,10,1,9,NA,NA,NA,NA,NA,3,3,2,2,3,2,2,5,3,2,1,5,5,3,2,2,1,1,10,4,3,3,5,3,5,5,5,3,5,5,5,5,5,10,5,5,5,5,5,1,2,1,68,2,3,3,2,1,11,NA,1,5,1,1,NA,1,2,NA,1,2,NA,1,3,3,3,3,13,NA,2,1,5,2,2,2,2,NA,2,NA,NA,NA,NA,NA
"10",54,0.25143511,"5","VALPARAÍSO",1,3,88,2022,11,6,10,"10-88",6,7,11,2,3,2,4,4,3,2,1,5,3,3,6,6,4,4,3,6,6,6,2,6,4,3,2,6,6,6,3,2,2,2,4,4,2,4,2,2,3,3,3,3,3,3,3,3,2,4,5,1,3,1,1,5,1,1,NA,9,4,NA,NA,2,2,3,2,2,2,1,3,2,2,1,5,5,1,2,1,2,1,2,3,5,10,5,5,5,5,5,5,5,5,3,3,2,5,5,5,5,5,6,2,1,2,46,2,4,2,1,NA,NA,7,1,6,2,NA,1,2,NA,2,2,NA,2,2,3,3,3,3,15,15,2,2,NA,2,1,2,2,NA,1,NA,NA,NA,NA,NA
"11",250,1.98979691,"13","METROPOLITANA",1,3,88,2022,11,20,11,"11-88",3,9,26,2,2,4,2,4,3,3,2,10,2,4,6,6,4,4,2,6,6,4,6,6,6,4,4,6,6,2,6,2,2,4,4,2,1,3,2,2,3,3,4,3,4,3,2,1,1,4,4,3,3,1,1,10,2,NA,2,NA,NA,NA,NA,NA,NA,3,1,2,2,2,88,1,2,1,5,5,3,2,1,2,1,5,5,5,5,1,2,5,5,5,5,5,1,1,5,0,10,5,0,10,5,10,1,2,1,18,2,3,2,2,1,9,NA,1,8,2,NA,2,2,NA,66,2,NA,3,2,3,1,2,2,3,NA,2,2,NA,2,2,2,6,NA,NA,NA,NA,NA,5,NA
"12",250,0.64724681,"13","METROPOLITANA",1,3,88,2022,11,20,12,"12-88",3,14,12,2,1,2,3,2,2,3,1,1,4,2,6,2,5,5,2,4,6,2,2,6,1,4,2,6,2,2,4,3,3,2,3,3,3,4,2,3,4,3,2,3,4,3,3,3,2,2,3,2,4,5,5,9,1,1,NA,11,9,NA,NA,1,1,1,2,2,2,1,2,3,2,1,5,5,2,1,1,2,1,5,5,5,5,1,1,5,5,5,3,1,1,4,5,5,5,10,5,5,5,5,1,2,2,56,2,4,1,1,NA,NA,9,9,8,1,1,NA,1,1,NA,1,1,NA,3,3,2,2,3,15,15,2,2,NA,2,2,1,3,NA,NA,4,NA,NA,NA,NA
"13",250,1.07874469,"13","METROPOLITANA",1,3,88,2022,11,20,13,"13-88",3,11,2,1,3,1,4,4,3,2,1,88,3,2,6,6,4,2,2,2,2,6,2,6,8,4,2,6,4,2,2,4,3,4,4,4,3,4,4,4,3,3,3,4,3,3,3,3,2,4,5,3,4,9,1,10,1,9,NA,NA,NA,NA,NA,4,4,2,2,5,2,2,2,3,1,1,7,3,3,2,1,2,1,3,3,4,10,5,5,5,5,5,5,1,1,5,0,5,5,5,5,5,5,5,2,1,2,63,2,1,3,1,NA,NA,9,1,8,1,99,NA,1,99,NA,1,9,NA,3,3,3,2,3,15,15,2,1,3,2,2,2,5,NA,NA,NA,NA,1,NA,NA
"14",250,1.35553535,"13","METROPOLITANA",1,3,88,2022,11,20,14,"14-88",3,11,14,1,2,3,2,5,3,3,2,5,2,3,6,3,2,2,2,6,2,6,6,6,4,4,4,6,6,4,2,3,4,3,4,3,4,3,2,3,3,3,4,4,3,3,4,3,2,4,3,2,5,5,4,10,1,2,NA,NA,NA,6,11,1,1,3,2,2,1,2,5,3,2,1,9,1,3,1,2,2,1,5,5,5,5,5,5,5,5,5,3,1,1,5,5,3,5,0,10,10,5,7,1,2,2,40,2,4,3,2,1,9,NA,1,7,1,2,NA,1,99,NA,1,9,NA,2,3,2,2,2,15,15,3,2,NA,1,1,2,6,NA,NA,NA,NA,NA,3,NA
"15",73,0.41638677,"7","MAULE",1,2,88,2022,11,10,15,"15-88",3,10,1,3,2,3,4,4,1,1,2,10,2,4,6,6,3,3,6,3,6,3,3,6,3,4,4,6,6,3,3,3,2,4,3,1,3,2,2,3,3,2,3,3,3,3,3,1,1,3,3,1,3,5,7,10,1,2,NA,NA,NA,11,3,1,1,1,4,2,2,2,2,3,2,1,5,5,3,1,1,2,1,10,10,0,0,5,5,5,5,5,3,1,2,3,10,0,7,5,0,10,5,5,2,1,2,39,2,8,3,1,NA,NA,4,1,3,2,NA,2,1,2,NA,1,2,NA,2,3,3,1,3,13,NA,2,2,NA,2,1,2,2,NA,3,NA,NA,NA,NA,NA
"16",71,1.08589987,"7","MAULE",1,3,88,2022,11,10,16,"16-88",3,10,1,2,3,3,4,3,2,2,2,5,3,3,6,6,4,3,3,6,6,6,6,6,4,4,3,6,6,3,6,88,3,3,4,3,3,3,2,3,4,3,3,3,3,3,3,3,3,4,4,1,3,10,5,8,2,NA,2,NA,NA,NA,NA,NA,NA,1,2,3,2,2,2,3,2,1,10,0,3,2,1,2,1,5,5,5,5,3,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,2,1,2,87,2,3,3,1,NA,NA,10,1,6,2,NA,2,2,NA,66,2,NA,1,3,3,3,2,3,15,15,2,2,NA,2,2,2,3,NA,NA,1,NA,NA,NA,NA
"17",73,0.97794586,"7","MAULE",1,2,88,2022,11,10,17,"17-88",9,17,3,2,2,3,3,4,2,2,1,6,3,4,6,6,6,2,6,6,6,6,6,6,3,3,3,6,6,6,4,4,1,4,4,2,2,4,2,4,1,2,2,2,2,3,2,1,2,4,3,1,3,6,4,7,1,1,NA,6,3,NA,NA,4,4,1,3,1,2,2,9,3,2,1,5,5,1,2,1,2,1,3,5,6,6,1,5,5,5,5,3,3,2,5,5,5,5,5,5,5,6,3,2,1,1,21,1,7,3,2,7,9,NA,1,6,1,1,NA,1,4,NA,1,1,NA,3,3,2,2,2,1,NA,3,2,NA,2,2,2,2,NA,1,NA,NA,NA,NA,NA
"18",187,1.73889101,"13","METROPOLITANA",1,2,88,2022,11,20,18,"18-88",1,5,26,2,2,3,3,4,2,1,1,6,3,1,6,6,2,4,6,6,6,6,3,6,6,2,1,6,6,2,3,4,4,4,4,4,3,4,3,3,3,4,3,4,3,3,3,3,3,3,4,1,3,4,5,7,1,1,NA,1,11,NA,NA,4,4,2,5,3,2,2,88,2,2,1,5,5,3,1,1,2,1,5,10,2,3,1,2,4,5,5,4,3,4,5,1,6,0,7,8,2,7,3,1,2,2,19,2,4,3,2,3,5,NA,9,8,1,88,NA,2,NA,1,1,1,NA,3,3,3,2,3,15,15,3,2,NA,2,2,2,3,NA,NA,4,NA,NA,NA,NA
"19",139,1.77824782,"13","METROPOLITANA",1,2,88,2022,11,20,19,"19-88",1,14,3,2,2,2,4,4,3,2,1,5,3,1,6,6,3,3,6,6,6,6,6,6,6,3,2,6,6,6,2,4,4,4,4,4,4,4,2,3,3,4,4,3,3,2,4,3,3,4,5,1,3,10,10,10,1,9,NA,NA,NA,NA,NA,4,4,3,3,2,2,2,1,3,2,1,10,0,3,1,2,2,1,5,5,5,5,1,4,5,5,5,5,3,2,5,5,5,5,5,5,5,5,5,2,1,2,20,1,5,3,2,4,7,NA,9,8,1,99,NA,1,1,NA,1,1,NA,2,3,2,1,2,15,15,3,2,NA,2,2,2,7,NA,NA,NA,NA,NA,NA,1
"20",139,1.85945778,"13","METROPOLITANA",1,3,88,2022,11,20,20,"20-88",3,10,7,1,3,1,4,4,3,3,2,8,1,4,6,6,2,1,6,6,6,6,3,1,6,4,3,6,6,3,2,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,1,4,4,5,2,5,10,10,10,2,NA,2,NA,NA,NA,NA,NA,NA,3,2,5,2,2,5,3,1,1,10,0,1,1,1,1,1,5,5,5,5,5,1,5,5,5,1,1,1,1,5,0,5,0,0,5,0,10,1,2,1,53,2,4,2,1,NA,NA,10,2,4,2,NA,1,2,NA,6,2,NA,2,3,3,3,3,3,15,15,1,2,NA,2,2,2,4,NA,NA,NA,99,NA,NA,NA
"21",187,1.24171712,"13","METROPOLITANA",1,1,88,2022,11,20,21,"21-88",14,2,3,3,2,4,3,5,2,2,3,5,4,1,6,2,4,4,1,6,2,6,2,6,1,3,1,3,1,3,2,4,4,4,4,4,4,4,4,2,4,4,3,4,4,2,4,4,2,4,3,1,3,10,10,10,1,1,NA,1,11,NA,NA,3,3,2,3,2,2,2,7,3,2,1,7,3,3,2,1,2,1,5,5,5,5,1,1,5,5,5,5,3,3,2,0,0,0,10,10,0,0,5,2,1,2,36,2,8,1,2,8,4,NA,9,8,1,1,NA,1,9,NA,1,1,NA,3,3,1,2,2,15,15,2,2,NA,1,2,2,3,NA,NA,5,NA,NA,NA,NA
"22",187,1.69119662,"13","METROPOLITANA",1,2,88,2022,11,20,22,"22-88",3,10,6,3,3,3,2,5,2,3,2,5,2,3,6,6,2,2,2,6,6,6,6,6,3,2,3,6,6,6,6,4,2,4,4,3,2,4,2,3,4,3,3,4,3,4,3,3,3,4,3,2,3,10,8,10,1,2,NA,NA,NA,2,11,4,4,2,2,2,1,1,2,3,1,1,10,0,1,1,1,1,1,5,5,5,5,1,3,5,5,5,2,3,1,5,5,5,5,5,2,8,5,5,2,1,1,34,2,4,1,1,NA,NA,10,9,8,1,2,NA,1,7,NA,1,3,NA,3,2,3,2,2,15,15,2,2,NA,1,1,2,5,NA,NA,NA,NA,2,NA,NA
"23",189,2.69331591,"13","METROPOLITANA",1,2,88,2022,11,20,23,"23-88",2,3,17,2,2,3,4,4,3,3,1,5,1,1,3,2,2,3,3,6,3,2,1,6,2,5,1,6,4,3,3,4,3,4,4,3,3,3,3,4,3,3,3,4,3,3,3,3,2,4,2,2,4,5,5,10,1,1,NA,4,10,NA,NA,4,4,2,2,3,2,2,5,3,1,1,10,0,1,1,2,2,1,7,7,3,3,1,1,5,5,5,3,1,1,5,0,0,0,3,10,0,8,2,2,1,1,19,1,4,3,2,8,4,NA,9,8,2,NA,3,2,NA,66,2,NA,3,2,3,3,2,2,15,15,2,2,NA,2,2,2,4,NA,NA,NA,4,NA,NA,NA
"24",72,0.49304778,"7","MAULE",1,4,88,2022,11,10,24,"24-88",5,6,13,3,3,2,2,3,3,2,2,88,2,3,6,6,3,4,6,6,6,6,6,6,6,3,6,6,6,6,6,3,3,3,4,3,3,3,1,3,3,3,4,4,4,3,4,3,1,3,3,3,3,5,10,10,1,2,NA,NA,NA,6,9,1,1,2,1,2,2,1,1,3,1,1,5,5,1,1,1,2,1,5,5,5,5,1,1,5,5,5,5,3,3,5,5,5,5,0,5,5,5,5,1,2,2,27,2,1,2,2,0,9,NA,2,4,2,NA,2,2,NA,2,2,NA,2,2,3,3,3,3,19,NA,1,2,NA,1,2,2,8,NA,NA,NA,NA,NA,NA,1
"25",72,0.1760586,"7","MAULE",1,4,88,2022,11,10,25,"25-88",3,10,1,2,1,4,2,4,3,3,2,5,4,2,6,6,4,6,6,6,6,6,6,6,2,4,4,6,6,6,6,4,1,1,4,2,4,2,4,2,1,2,2,4,2,2,1,1,2,4,4,3,3,5,6,5,1,2,NA,NA,NA,4,6,2,2,2,2,2,2,1,2,1,2,1,4,6,2,1,1,2,1,5,5,6,4,5,5,5,5,5,3,1,1,3,1,1,9,5,5,6,5,6,1,2,2,82,2,2,3,1,NA,NA,9,2,6,2,NA,2,2,NA,2,2,NA,2,3,3,3,3,3,1,NA,1,2,NA,2,2,2,1,2,NA,NA,NA,NA,NA,NA
"26",24,0.75802687,"4","COQUIMBO",1,3,88,2022,11,4,26,"26-88",27,9,11,1,2,2,3,3,2,2,3,99,3,2,4,6,3,3,2,6,8,6,3,6,6,2,2,6,3,3,4,4,4,2,4,4,3,3,3,4,3,4,3,3,4,4,4,3,1,4,5,1,3,1,1,99,1,9,NA,NA,NA,NA,NA,2,2,1,1,4,2,2,8,1,1,1,0,10,1,1,2,2,1,10,5,5,0,1,4,5,5,5,5,1,3,5,0,5,0,5,10,5,5,5,2,1,1,59,2,4,2,1,NA,NA,9,2,1,1,1,NA,1,3,NA,2,NA,9,1,3,3,2,2,15,9,1,1,9,2,1,2,3,NA,NA,99,NA,NA,NA,NA
"27",204,1.09324112,"13","METROPOLITANA",1,2,88,2022,11,20,27,"27-88",26,3,5,2,2,5,3,4,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,4,4,4,4,4,1,1,4,4,1,4,4,4,4,5,3,3,10,10,10,1,1,NA,7,10,NA,NA,1,1,1,5,1,2,2,3,3,1,1,0,10,3,2,1,2,1,5,5,5,5,1,5,5,5,5,5,5,5,3,0,10,0,10,10,0,5,5,2,1,1,60,2,6,1,1,NA,NA,8,1,8,2,NA,1,2,NA,1,2,NA,1,3,3,3,3,3,99,99,99,9,NA,2,2,1,4,NA,NA,NA,99,NA,NA,NA
"28",204,0.97516611,"13","METROPOLITANA",1,3,88,2022,11,20,28,"28-88",2,5,7,2,1,3,2,4,2,2,1,5,3,1,6,6,2,2,6,6,6,6,6,6,3,4,1,6,6,6,3,4,4,2,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,5,3,3,5,5,1,2,NA,2,NA,NA,NA,NA,NA,NA,2,3,3,2,2,5,3,2,1,10,0,3,1,1,2,1,10,10,0,0,1,1,5,5,5,5,5,5,3,0,5,2,5,5,5,5,5,2,1,1,27,2,4,2,1,NA,NA,9,2,4,2,NA,1,2,NA,66,2,NA,3,2,3,2,2,2,15,15,1,2,NA,2,2,2,3,NA,NA,3,NA,NA,NA,NA
"29",214,0.18022373,"13","METROPOLITANA",1,4,88,2022,11,20,29,"29-88",7,10,11,2,2,1,3,4,3,2,2,88,3,3,4,6,6,3,6,8,8,6,6,6,4,3,8,8,6,8,8,2,1,3,4,3,3,3,2,3,1,2,3,2,3,2,2,2,2,3,5,3,3,10,10,10,1,8,NA,NA,NA,NA,NA,4,4,88,1,1,2,1,2,1,1,88,NA,NA,1,2,1,2,1,5,5,5,5,5,5,5,5,5,3,4,3,5,99,99,5,5,5,5,5,5,1,2,2,66,2,4,3,1,NA,NA,7,1,8,1,99,NA,1,99,NA,1,9,NA,3,3,3,3,3,15,99,2,2,NA,2,2,2,1,2,NA,NA,NA,NA,NA,NA
"30",214,1.08122307,"13","METROPOLITANA",1,4,88,2022,11,20,30,"30-88",10,6,5,4,2,1,1,1,8,1,2,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,88,88,4,88,88,88,88,4,4,88,88,3,88,88,88,88,4,88,4,5,2,3,10,10,10,2,NA,8,NA,NA,NA,NA,NA,NA,2,4,1,2,2,5,3,2,88,NA,NA,1,2,1,1,88,NA,NA,NA,NA,3,1,5,5,5,5,5,5,5,88,88,88,88,88,88,88,88,2,1,2,41,2,3,1,1,NA,NA,7,9,8,2,NA,88,2,NA,88,2,NA,8,3,3,3,3,3,88,88,88,2,NA,2,1,2,8,NA,NA,NA,NA,NA,NA,1
"31",141,1.25644104,"13","METROPOLITANA",1,3,88,2022,11,20,31,"31-88",27,9,14,3,2,3,2,2,1,2,1,3,4,1,4,3,3,4,6,2,3,6,2,6,1,3,1,6,3,3,3,4,4,4,3,3,3,4,2,2,1,3,2,3,3,2,3,3,2,2,2,1,2,7,5,6,1,1,NA,3,4,NA,NA,3,3,2,2,2,2,2,4,3,2,1,8,2,1,1,1,1,1,5,5,5,5,1,4,5,5,5,5,5,5,5,2,7,0,8,7,0,8,1,1,2,2,42,2,3,2,2,4,5,NA,9,8,1,1,NA,1,1,NA,1,1,NA,3,3,2,2,1,9,NA,3,2,NA,2,1,2,4,NA,NA,NA,2,NA,NA,NA
"32",141,0.64064579,"13","METROPOLITANA",1,3,88,2022,11,20,32,"32-88",3,5,7,3,1,3,2,3,3,2,1,5,4,2,2,6,4,4,4,6,2,2,2,6,4,2,2,6,4,4,2,2,3,3,3,3,2,3,2,3,2,1,2,3,3,2,3,2,2,4,5,1,3,7,10,10,1,1,NA,8,9,NA,NA,2,2,2,2,5,1,1,2,1,1,1,5,5,3,1,1,2,1,5,5,5,5,3,4,4,5,5,2,3,4,3,1,0,0,9,10,0,5,6,2,1,1,65,2,3,1,1,NA,NA,5,1,4,2,NA,1,1,1,NA,1,1,NA,1,3,3,3,3,1,NA,2,2,NA,2,2,2,2,NA,3,NA,NA,NA,NA,NA
"33",141,0.27426342,"13","METROPOLITANA",1,3,88,2022,11,20,33,"33-88",10,11,5,2,2,2,3,5,2,2,2,5,2,2,2,2,3,2,2,6,6,2,2,6,2,3,2,2,2,3,2,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,5,3,5,10,10,10,1,9,NA,NA,NA,NA,NA,7,7,2,2,3,1,1,1,3,2,1,6,4,3,2,1,2,1,5,5,5,5,3,2,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,2,1,2,54,2,6,3,1,NA,NA,5,1,7,1,99,NA,1,99,NA,1,9,NA,2,3,1,3,2,99,15,2,2,NA,2,1,2,2,NA,1,NA,NA,NA,NA,NA
"34",141,1.47546872,"13","METROPOLITANA",1,4,88,2022,11,20,34,"34-88",9,13,3,3,1,3,2,3,2,2,1,5,4,3,6,6,6,3,6,6,6,6,6,6,6,2,2,6,6,6,3,4,3,4,3,2,2,3,3,1,4,3,2,3,2,2,3,2,2,3,4,1,2,7,6,7,1,2,NA,NA,NA,8,12,4,4,1,4,2,2,2,5,3,2,1,10,0,1,2,1,2,1,5,5,5,5,2,3,5,5,5,3,4,3,4,5,5,5,5,5,5,5,5,2,1,1,21,2,3,1,2,2,11,NA,10,8,2,NA,1,2,NA,6,1,1,NA,3,3,3,2,3,17,NA,2,2,NA,2,2,2,4,NA,NA,NA,4,NA,NA,NA
"35",189,1.52900233,"13","METROPOLITANA",1,2,88,2022,11,20,35,"35-88",11,10,3,3,3,3,4,4,2,2,2,5,3,2,6,6,3,2,6,6,6,6,6,6,6,3,3,6,6,3,3,4,3,3,3,2,3,4,2,3,2,3,3,3,3,2,4,2,2,3,4,3,3,6,10,6,1,2,NA,NA,NA,7,10,3,3,1,3,2,2,2,4,3,1,1,7,3,1,1,1,2,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,2,34,2,8,1,2,8,3,NA,9,8,1,1,NA,1,7,NA,2,NA,3,3,3,3,3,3,99,99,2,2,NA,1,1,2,4,NA,NA,NA,99,NA,NA,NA
"36",31,0.85685613,"5","VALPARAÍSO",1,4,88,2022,11,6,36,"36-88",26,10,5,3,3,2,4,4,1,1,1,5,3,1,6,6,1,3,6,6,1,2,1,1,2,1,1,6,6,6,2,4,4,4,3,4,4,4,3,3,3,4,3,4,3,3,3,3,3,3,3,1,3,5,5,5,1,1,NA,4,7,NA,NA,4,4,2,3,2,2,1,1,3,1,1,10,0,1,1,1,2,1,6,6,3,5,1,2,1,4,1,5,3,3,1,0,5,5,5,5,0,5,5,1,2,2,35,1,7,2,1,NA,NA,9,11,8,1,1,NA,1,99,NA,1,1,NA,2,3,1,1,2,15,15,3,1,5,2,1,2,4,NA,NA,NA,1,NA,NA,NA
