"","estrato","secu","region","zona_u_r","percepcion_1_a","percepcion_1_b","percepcion_1_c","percepcion_2","percepcion_3","percepcion_5","percepcion_6","percepcion_38","percepcion_39","percepcion_4","eval_gob_1","iden_pol_2","eval_act_pol_1_fh","eval_act_pol_1_p","eval_act_pol_1_en","eval_act_pol_1_gj","eval_act_pol_1_el","eval_act_pol_1_gm","eval_act_pol_1_ff","eval_act_pol_1_gf","eval_act_pol_1_fo","eval_act_pol_1_gn","eval_act_pol_1_dh","eval_act_pol_1_ae","eval_act_pol_1_dv","eval_act_pol_1_fe","eval_act_pol_1_ek","eval_act_pol_1_go","confianza_6_a","confianza_6_c","confianza_6_b","confianza_6_j","confianza_6_d","confianza_6_e","confianza_6_f","confianza_6_n","confianza_6_x","confianza_6_g","confianza_6_h","confianza_6_i","confianza_6_aa","confianza_6_z","confianza_6_s","confianza_6_o","confianza_6_p","confianza_6_r","confianza_6_y","confianza_6_m","confianza_8_a","rotacion_mtf_82","mtf_82","rotacion_mtf_83","mtf_83","constitucion_6","constitucion_3","constitucion_7","constitucion_8","constitucion_9_a","constitucion_9_b","constitucion_10_a","constitucion_10_b","constitucion_11_a","constitucion_11_b","constitucion_12","constitucion_13_a","constitucion_13_b","constitucion_13_c","constitucion_14","constitucion_15","constitucion_16_a","constitucion_16_b","constitucion_17_a","constitucion_17_b","constitucion_18","mtf_42_b","mtf_42_c","mtf_42_d","mtf_43_b","mtf_81_a","mtf_81_b","mtf_81_c","elec_part_56","elec_pres_143_a","elec_pres_143_b","elec_part_37","elec_pres_144_a","elec_pres_144_b","democracia_19","pobreza_62","iden_nacional_16","educacion_108","educacion_109","sexo","gse","edad","info_enc_61","esc_nivel_1","info_enc_35","info_enc_62","info_enc_38","info_enc_63","info_enc_16_b","religion_82","religion_2","educacion_104_a","elec_parla_35","info_enc_30","pobreza_103_a","pobreza_111","mtf_60","info_hogar_1","info_hogar_2_a","info_hogar_2_b","info_hogar_2_c","info_hogar_32","info_enc_52","info_enc_54","transporte_18","transporte_19","info_hogar_21_n","info_enc_60","encuesta","encuesta_a","encuesta_m","pond"
"822",24,86254,16,1,3,10,1,3,2,3,8,9,3,3,2,99,2,3,6,6,6,6,8,6,3,6,6,2,2,8,6,6,99,1,3,4,1,99,1,1,1,88,4,88,88,99,1,3,99,4,99,99,4,2,8,2,88,88,3,88,88,NA,NA,NA,NA,NA,NA,88,9,3,8,88,88,NA,NA,NA,NA,88,2,1,1,1,5,3,3,1,77,NA,2,NA,99,10,10,1,99,88,1,4,70,2,1,2,7,3,NA,3,5,8,99,99,88,3,3,0,1,1,0,0,88,2,NA,6,NA,2,1,86,2022,5,0.30266546
"823",24,86254,16,1,5,3,13,2,3,2,4,4,3,2,2,88,2,3,8,8,6,6,6,6,6,6,6,2,6,6,2,6,4,2,2,4,3,4,4,3,88,4,3,3,4,4,3,4,3,3,4,3,4,1,4,1,2,88,2,5,3,NA,NA,NA,NA,7,88,3,2,2,3,1,88,NA,NA,NA,NA,3,2,2,3,4,3,3,3,2,NA,66,2,NA,88,10,10,1,2,2,2,4,34,2,4,2,3,3,NA,3,2,8,4,77,88,2,4,1,2,1,1,0,3,2,NA,6,NA,2,1,86,2022,5,0.45025667
"824",12,86092,8,1,1,2,6,2,3,1,5,5,3,3,2,3,1,1,1,2,1,1,6,1,6,6,1,1,1,6,1,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,1,2,2,3,4,3,NA,NA,NA,NA,2,88,3,3,3,3,1,2,1,1,1,3,2,1,1,5,3,3,3,3,2,NA,88,2,NA,66,3,10,3,1,1,2,4,47,2,2,1,2,3,NA,3,1,2,1,77,88,1,4,4,2,2,99,0,5,1,NA,6,NA,2,3,86,2022,5,0.58462333
"825",24,86254,16,1,3,9,7,1,2,2,4,4,3,2,1,1,8,5,6,6,3,5,3,6,6,6,6,6,5,6,6,6,4,2,2,3,3,3,3,2,3,4,2,3,3,3,2,3,3,2,3,2,4,2,2,1,1,1,3,5,1,2,88,NA,NA,NA,NA,3,2,2,2,2,1,NA,NA,NA,NA,2,2,3,2,2,3,3,2,2,NA,66,2,NA,66,10,5,1,2,2,2,3,29,1,5,2,4,3,NA,3,9,8,1,77,88,2,4,0,3,2,1,0,5,1,NA,6,NA,2,1,86,2022,5,1.03624599
"826",24,86254,16,1,3,6,7,1,3,2,4,5,3,3,2,88,2,8,6,2,6,6,6,6,6,6,6,6,6,6,6,6,4,3,3,4,4,4,3,4,88,3,3,4,4,4,88,3,3,3,88,3,4,2,2,1,88,88,2,5,88,NA,NA,NA,NA,NA,NA,88,3,3,3,1,1,NA,NA,NA,NA,4,2,2,2,2,5,3,1,2,NA,66,2,NA,66,10,88,1,2,2,2,4,49,2,2,2,3,3,NA,3,9,8,1,77,88,1,5,0,2,2,0,0,5,1,NA,6,NA,2,1,86,2022,5,0.62976585
"827",18,86113,11,1,5,11,10,3,2,4,3,3,2,3,2,88,2,4,6,4,2,9,4,8,4,6,4,4,4,2,4,6,4,3,3,4,4,4,3,4,3,4,3,4,3,2,4,3,3,3,3,2,1,2,3,2,4,1,2,2,1,9,7,NA,NA,NA,NA,3,3,2,2,2,1,NA,NA,NA,NA,3,5,5,5,5,3,3,3,1,2,NA,1,2,NA,6,6,6,1,2,2,3,24,1,7,1,2,3,NA,3,99,99,10,99,88,2,2,0,1,1,99,99,4,2,NA,6,NA,2,1,86,2022,5,0.90256883
"828",12,86080,8,1,1,10,13,3,3,3,4,2,3,2,2,10,2,5,4,2,4,6,6,6,4,6,6,4,4,6,2,6,4,1,3,3,88,4,3,1,4,4,3,3,4,4,3,3,4,4,4,2,4,1,1,2,3,2,2,3,3,NA,NA,NA,NA,9,88,2,3,3,3,1,1,NA,NA,NA,NA,4,2,2,4,2,3,3,3,2,NA,2,2,NA,2,10,1,1,2,1,2,4,66,2,3,2,7,3,NA,3,2,5,1,88,88,3,4,2,2,2,0,0,7,2,NA,6,NA,2,3,86,2022,5,0.66073828
"829",21,86241,14,1,1,5,3,2,3,3,3,4,3,3,2,99,1,1,3,3,2,4,3,6,3,6,1,3,3,3,3,6,4,2,1,4,2,3,3,3,4,4,1,3,4,4,3,3,4,2,4,1,4,2,4,2,3,1,3,2,2,NA,NA,2,5,NA,NA,2,3,2,1,1,1,NA,NA,NA,NA,4,1,2,3,1,5,3,3,1,2,NA,1,2,NA,5,10,6,88,4,1,2,70,2,4,2,7,1,7,3,2,2,5,77,88,3,4,5,NA,NA,NA,NA,8,2,NA,6,NA,1,1,86,2022,5,0.54759828
"830",24,86253,16,1,10,6,3,1,3,3,5,1,3,3,3,99,1,2,6,2,1,3,2,6,6,6,6,2,3,6,2,8,2,2,99,4,3,3,4,2,1,1,4,4,4,4,2,3,4,88,4,2,4,1,2,1,2,2,3,5,2,NA,NA,6,6,NA,NA,1,3,2,3,7,1,NA,NA,NA,NA,2,3,1,2,1,3,3,3,1,7,NA,1,1,NA,10,1,5,2,1,1,3,62,2,2,1,1,1,1,2,1,7,5,77,88,3,2,1,3,3,0,0,9,2,NA,6,NA,2,1,86,2022,5,1.5551593
"831",24,86253,16,1,1,3,5,2,2,2,3,4,2,2,8,88,3,2,6,8,3,6,8,6,6,6,6,6,6,6,6,6,3,2,3,3,3,3,3,2,3,2,2,3,3,3,3,3,3,2,3,3,4,1,3,1,2,88,88,5,88,NA,NA,NA,NA,NA,NA,88,3,3,3,1,1,NA,NA,NA,NA,88,1,2,3,3,3,3,3,1,2,NA,1,2,NA,10,7,5,2,2,2,3,52,2,2,2,3,3,NA,3,3,1,2,77,88,2,5,2,1,1,0,0,5,2,NA,6,NA,2,1,86,2022,5,0.40452298
"832",12,86078,8,1,1,5,6,3,2,3,2,2,2,2,3,5,2,3,6,6,2,6,6,8,6,6,8,8,4,6,8,6,3,2,2,3,2,3,3,3,3,2,2,3,3,3,3,2,2,2,3,2,4,1,3,1,1,2,3,4,3,NA,NA,NA,NA,88,88,1,3,3,3,4,1,NA,NA,NA,NA,2,3,3,2,3,3,3,3,2,NA,88,1,2,NA,5,1,5,2,2,1,3,42,2,2,1,1,3,NA,3,9,8,5,88,88,3,4,0,4,4,0,0,10,2,NA,6,NA,2,1,86,2022,5,4.45799763
"833",4,86024,4,1,5,10,14,2,3,2,4,4,3,2,2,6,2,3,3,6,2,6,6,6,6,6,6,6,6,6,3,6,2,2,2,4,3,3,2,3,3,4,1,3,3,3,4,4,3,2,4,4,4,2,3,1,2,1,2,5,3,NA,NA,NA,NA,3,3,1,3,3,3,1,1,NA,NA,NA,NA,3,3,3,2,2,3,1,3,1,1,NA,1,1,NA,5,4,3,2,1,2,4,51,2,1,2,1,3,NA,3,2,2,4,66,88,2,4,4,1,1,0,0,5,1,NA,6,NA,2,3,86,2022,5,0.51540479
"834",4,86024,4,1,2,10,26,5,3,4,3,5,3,3,2,6,2,3,2,2,2,2,2,2,4,6,2,2,3,2,3,6,3,3,4,4,3,3,3,3,4,3,3,4,3,4,3,3,3,3,4,3,4,1,3,2,3,2,3,4,2,NA,NA,2,6,NA,NA,2,1,1,1,1,1,NA,NA,NA,NA,2,4,4,2,4,3,3,3,1,2,NA,1,2,NA,1,3,5,2,2,2,4,36,2,6,2,1,2,1,3,1,4,5,7,88,2,4,1,4,3,0,1,8,1,NA,2,5,1,2,86,2022,5,2.21095932
"835",6,86035,5,1,3,7,10,3,1,4,2,4,1,1,1,2,5,1,2,5,4,3,5,1,5,3,2,1,1,3,1,6,4,3,1,3,4,3,3,3,4,3,3,1,4,4,4,2,4,3,2,4,4,2,1,2,3,1,1,2,1,1,5,NA,NA,NA,NA,2,2,1,1,5,1,NA,NA,NA,NA,2,2,2,1,2,3,3,4,1,1,NA,1,1,NA,10,10,5,3,3,2,3,82,2,2,2,8,3,NA,3,8,7,4,13,88,4,3,4,1,1,0,0,5,1,NA,6,NA,2,1,86,2022,5,0.23826198
"836",6,86052,5,1,9,26,16,2,1,4,3,3,1,1,1,5,4,2,2,3,3,6,4,6,6,6,6,4,2,2,3,6,3,2,3,3,3,3,3,2,4,2,2,2,3,3,2,2,2,2,2,2,3,1,2,1,2,2,2,3,1,9,2,NA,NA,NA,NA,3,3,2,3,4,2,3,3,3,3,2,4,2,4,4,3,3,3,1,6,NA,1,1,NA,7,6,7,2,2,2,2,57,2,6,2,8,1,1,3,1,6,5,3,88,3,3,3,4,4,0,0,9,2,NA,6,NA,2,1,86,2022,5,1.05432137
